poet,gender,
Rachel Richardson,F,
James Hoch,M,
Nadra Mabrouk,F,
Thylias Moss,F,
Adrian Blevins,F,
Ron De Maris,M,
Jeffrey Jullich,M,
Mary Lamb,F,
Maureen Thorson,F,
Fred D'Aguiar,M,
Naomi Cohn,F,
Olivia Clare,F,
Therese Lloyd,F,
Samuel Wagan Watson,M,
Ashley Anna McHugh,F,
Ioanna Carlsen,F,
Ryo Yamaguchi,M,
Isaac Rosenberg,M,
Walt Whitman,M,
Carl Dennis,M,
Amanda Calderon,F,
Valerie Mejer Caso,F,
Jennifer Chang,F,
Chris Dombrowski,M,
Victoria Martinez,F,
Joshua Corey,M,
Allison Seay,F,
Dora Malech,F,
Natalie Scenters-Zapico,F,
Christopher Gilbert,M,
Gerald Fleming,M,
Richard Garcia,M,
Leila Wilson,F,
Olav H. Hauge,M,
Stephanie Gray,F,
Chidiock Tichborne,M,
Patrick Shaw-Stewart,M,
Julie Suk,F,
Randall Mann,M,
Paul Martin,M,
Susan Eisenberg,F,
Connie Wanek,F,
Tory Dent,M,
Natalie Eilbert,F,
E. A. Markham,M,
Sherod Santos,M,
Richard Levine,M,
Shane Book,M,
Brad Trumpfheller,M,
Judith Ortiz Cofer,F,
R.A. Villanueva,M,
Reb Livingston,F,
Charlotte Elizabeth Tonna,F,
Jack Cooper,M,
Lisa Williams,F,
Michael McClure,M,
Rebecca Kai Dotlich,F,
Janet McNally,F,
Aleida Rodríguez,F,
Richard Newman,M,
Charles Wesley,M,
Al Young,M,
Dag T. Straumsvåg,-,
Charles Wright,M,
LeConté Dill,F,
H. L. Hix,M,
Daisy Fried,F,
Marilyn L. Taylor,F,
Susan Howe,F,
Thomas James,M,
Jennifer Scappettone,F,
Ed Roberson,M,
Suzanne Buffam,F,
Valerie Duff,F,
James Crews,M,
Douglas Florian,M,
Sarah Josepha Hale,F,
Judy Grahn,F,
Drew Swinger,F,
Catherine Sasanov,F,
Iain Britton,M,
Kristen Tracy,F,
Kenneth Lee,M,
Arthur Sze,M,
Andrew Hudgins,M,
Tongo Eisen-Martin,M,
Martin Dyar,M,
James Baldwin,M,
Kahlil Gibran,M,
Archibald MacLeish,M,
Rodney Jones,M,
Elaine Kahn,F,
Clark Coolidge,M,
Dara Wier,F,
Sir  Thomas Wyatt,M,
William Walden,M,
N. Scott Momaday,M,
Kwame Dawes,M,
Anna Maria Hong,F,
Edith Wharton,M,
Szilárd Borbély,M,
Marie Howe,F,
A. E. Housman,M,
Marsha De La O,F,
Leslie Adrienne Miller,F,
Thomas R. Moore,M,
Isaac Watts,M,
John Godfrey,M,
Gerard Malanga,M,
Phillis Wheatley,F,
Celina Su,F,
Joachim Sartorius,M,
Margaret Hasse,F,
Camille Rankine,F,
Luke Kennard,M,
Yona Harvey,F,
Amber Flora Thomas,F,
Paulann Petersen,F,
John Frederick Nims,M,
Hannah More,F,
Harry Clifton,M,
Blas Falconer,M,
Philip Lamantia,M,
Lynne Sharon Schwartz,F,
Debra Wierenga,F,
Jeffrey Harrison,M,
Carl Phillips,M,
Ezra Pound,M,
Carol L. Gloor,F,
Jayne Cortez,F,
Philip Larkin,M,
Arthur Rimbaud,M,
Jessie B. Rittenhouse,F,
Dave Lucas,M,
Jason Labbe,M,
Charlie Smith,M,
Nora Marks Dauenhauer,F,
Sean Nevin,M,
Jason Gray,M,
Olena Kalytiak Davis,F,
Ethan Stebbins,M,
Nyla Matuk,F,
Lewis Carroll,M,
Joanna Klink,F,
Chard DeNiord,M,
Christopher Marlowe,M,
Diane Gilliam Fisher,F,
Esther Belin,F,
Maureen Seaton,F,
Dave Smith,M,
Elizabeth-Jane Burnett,F,
Rick Campbell,M,
Thom Gunn,M,
John Shoptaw,M,
James Galvin,M,
Arden Levine,F,
William Cowper,M,
John Sakkis,M,
Judson Mitcham,M,
Martha Zweig,F,
Bhanu Kapil,F,
Sarah Gambito,F,
Sarah Dixon,F,
Stuart Dybek,M,
T.J. Jarrett,F,
Patrick Durgin,M,
Dean Browne,M,
Harryette Mullen,F,
Leanne O'Sullivan,F,
Petra White,F,
Regan Huff,M,
George Gascoigne,M,
Primus St. John,M,
Elizabeth Akers Allen,F,
Reginald Dwayne Betts,M,
Oliver Goldsmith,M,
Mark Levine,M,
Tacey M. Atsitty,F,
Adonis,M,
Gillian Allnutt,F,
Dan Chelotti,M,
Shann Ray,M,
Eric Nelson,M,
David Elliott,M,
James Sloan Gibbons,M,
Elisa Gabbert,F,
Richard Jarrette,M,
Maria Terrone,F,
Tom Sleigh,M,
Carrie Shipers,F,
Jeff Vande Zande,M,
Dave Lordan,M,
Robin Blaser,M,
Sarah Orne Jewett,F,
Roberta Hill,F,
Keith S. Wilson,M,
Zack Strait,M,
Coventry Patmore,M,
Jennifer S. Flescher,F,
